Distance: 0.0, Energy: -785.218485220837
Distance: 8.0, Energy: -785.2184343550255
Distance: 16.0, Energy: -785.2183453391901
Distance: 24.0, Energy: -785.2183421093363
Distance: 32.0, Energy: -785.2181774432474
Distance: 48.0, Energy: -785.2179889323244
Distance: 40.0, Energy: -785.2181179717861
Distance: 56.0, Energy: -785.217894083509
Distance: 64.0, Energy: -785.2178389286199
Distance: 72.0, Energy: -785.2176680539042
